size_1,size_2,size_3,size_4,flow_ratio_avg,flow_ratio_var,min_ratio_avg,min_ratio_var
1,2,2,2,0.6753304064752499,0.2042759901150412,0.6451626364999999,0.19485477170791982
1,2,2,4,0.7219164602082501,0.1359371501065494,0.5319150195000001,0.2009319278835735
1,2,2,6,0.7114604454441669,0.13188402374318503,0.5015130640000001,0.1687214643836252
1,2,2,8,0.74918610798,0.09872121966147634,0.41957281679999997,0.17677485501403303
1,2,2,10,0.68660293395635,0.12732167722226162,0.31165787744999995,0.18271390735773627
1,2,4,2,0.67591626593,0.12775914183638173,0.6518790805,0.1315169515222014
1,2,4,4,0.7186614873005001,0.13395833966435425,0.6633998835,0.14025738659040463
1,2,4,6,0.6982641098434833,0.09632479740220268,0.558965871,0.08448833954989388
1,2,4,8,0.7348939902758125,0.1340706394669544,0.5882918715,0.12333744849897195
1,2,4,10,0.7129606993136,0.15242740713377584,0.508204103,0.1420407920125897
1,2,6,2,0.6946720621425,0.12379119959190976,0.6864505314999999,0.116418634973786
1,2,6,4,0.6906763073023751,0.10602627249775463,0.6494297665,0.10198446620663391
1,2,6,6,0.74769616808625,0.09275486024950683,0.6604678545,0.10856045255834597
1,2,6,8,0.7380592715275625,0.08611487240122319,0.6323210355,0.06918385828848717
1,2,6,10,0.74328778784574,0.1314776433716173,0.5915950775,0.10966443347135336
1,2,8,2,0.715389871516,0.11554693686434395,0.7082055945000001,0.11629190179104475
1,2,8,4,0.7337332913111625,0.10901498969113471,0.706200261,0.10018249029269566
1,2,8,6,0.7745386891779166,0.10369187801817827,0.6941228385,0.10129773171137652
1,2,8,8,0.7452382939335462,0.10086838896552365,0.6503220630000001,0.0885283821473001
1,2,8,10,0.6901308365082,0.12740569792539239,0.5989218464999999,0.09210029281309513
1,2,10,2,0.7229136988292749,0.0981203425480628,0.7085328730000001,0.09622517416110056
1,2,10,4,0.6911812663950375,0.12722469187187255,0.6768856585,0.12430906039250365
1,2,10,6,0.7599553255200082,0.08375542132253781,0.7307053094999999,0.07357653423375109
1,2,10,8,0.7344107796598562,0.11506979218122315,0.680888841,0.10309712713929152
1,2,10,10,0.7779389738411601,0.09312464588708384,0.682358596,0.0870368745583092
1,4,2,2,0.6806991434949999,0.07345695500829678,0.58265363,0.16415626988510934
1,4,2,4,0.6928973013262499,0.1093099752465248,0.5182703830000001,0.16530023136583571
1,4,2,6,0.6892720225366668,0.12695542714249708,0.448964156,0.16961502399466716
1,4,2,8,0.686059343783125,0.09182960395651357,0.38542239550000007,0.2042866051181444
1,4,2,10,0.7160588743674998,0.10029194030267864,0.32308126554999994,0.16199536964899744
1,4,4,2,0.69243873498825,0.11320981253060909,0.6731216174999999,0.12324426496507425
1,4,4,4,0.72730559934625,0.09760346743446481,0.6485940015,0.11324250319416959
1,4,4,6,0.7432054638941666,0.08414477201837378,0.6310621129999999,0.10602039208438582
1,4,4,8,0.7358665951847188,0.08240368612928892,0.5722843835000001,0.12396345250500232
1,4,4,10,0.7097856291491,0.08231612208920984,0.5522845965000001,0.11742610036815156
1,4,6,2,0.7172451119440499,0.10088489427761192,0.7059888219999999,0.09741495796203656
1,4,6,4,0.7588324823799999,0.09106400586798336,0.6795521785,0.09679210469641372
1,4,6,6,0.7066217085658335,0.09893946417381347,0.626952771,0.10584951860229606
1,4,6,8,0.7781651733862188,0.06705710410239892,0.600904201,0.14413103304040825
1,4,6,10,0.7606288356464801,0.08030641417520579,0.6124869970000001,0.13200167439592558
1,4,8,2,0.7219549117899999,0.07761409620985617,0.7108400684999999,0.07291905758142532
1,4,8,4,0.71736904562875,0.11434846334996784,0.688039047,0.10519132928159093
1,4,8,6,0.7541605805671667,0.09265173389937757,0.7092140454999999,0.09226681925104986
1,4,8,8,0.7184846838665189,0.09973930484468106,0.6356061795000001,0.08935309170953785
1,4,8,10,0.724525125714101,0.07472379044051022,0.6611374870000001,0.07217725362182147
1,4,10,2,0.7171792419784999,0.09113711189058558,0.7160413455,0.08956951378335408
1,4,10,4,0.73703290284375,0.09326560721224202,0.7051081920000001,0.08616018271532237
1,4,10,6,0.7422718354623583,0.08935670085959736,0.704562528,0.09514489896935341
1,4,10,8,0.7503776595050689,0.12168706265052949,0.699662988,0.10787643562791878
1,4,10,10,0.7475442163283499,0.08062405278622889,0.7074698745,0.07200424764055573
1,6,2,2,0.6690651162675001,0.08546012584247747,0.606257119,0.1467100055256638
1,6,2,4,0.6964954421025,0.10971646734669512,0.4709611680000001,0.15931574926822356
1,6,2,6,0.7111268985758332,0.08515741793900718,0.4887880107999999,0.16355850223756346
1,6,2,8,0.7247855131837501,0.0770784346348356,0.425808415,0.14251785463265523
1,6,2,10,0.6802796942029999,0.0911503514475074,0.39178747725,0.16303678358483487
1,6,4,2,0.7017119952099999,0.0944861653912645,0.6800514245,0.09391625892742367
1,6,4,4,0.70368897734125,0.08127964196721879,0.6440987485,0.10049717456684763
1,6,4,6,0.7374651911469999,0.08675460766969721,0.6036315594999999,0.14322809110513235
1,6,4,8,0.7691686026046937,0.07424515664207981,0.5840730904999999,0.08295335577013546
1,6,4,10,0.7320552856957502,0.07912969236887397,0.5413956725,0.13874957415626707
1,6,6,2,0.7210206762300001,0.07042641731334241,0.7102628395000001,0.06726689584170222
1,6,6,4,0.7429482157010375,0.07663962390420123,0.6944340499999999,0.08832945320568225
1,6,6,6,0.7412299486531666,0.06987251244224532,0.6793395515000001,0.0496089708914238
1,6,6,8,0.7643773178842499,0.057568493982086966,0.6429355865,0.1055325040897519
1,6,6,10,0.75250638496635,0.07711548000444998,0.651917721,0.10489272381718757
1,6,8,2,0.6902745955670001,0.05966798476302782,0.690274595,0.05966798587321233
1,6,8,4,0.73704059040825,0.05179100309288982,0.704242331,0.05351394425734875
1,6,8,6,0.7166690282777499,0.09077919471017788,0.674371214,0.07175576672634927
1,6,8,8,0.7277960681000563,0.06262940469656,0.666514203,0.05203954335784886
1,6,8,10,0.7694923614123,0.06911530908422392,0.6334169574999999,0.09706299350272532
1,6,10,2,0.7107932166650001,0.06523609535327743,0.7014043489999999,0.06015124002292488
