size_1,size_2,size_3,flow_ratio_avg,flow_ratio_var,min_ratio_avg,min_ratio_var
1,2,2,0.7408205963573,0.14654482786800568,0.6530732298,0.18316473582870624
1,2,3,0.7659666252551403,0.11776815135064657,0.5829902069299999,0.19669127272710552
1,2,4,0.744613945363775,0.1263916475652792,0.5116199340700001,0.18698084552401176
1,2,5,0.75476405445024,0.11412803581228731,0.47083247004999995,0.17979605734389156
1,2,6,0.7647557779400165,0.10380572506809059,0.4420052401900001,0.17914202869571969
1,2,7,0.7370757864471287,0.13442243455557534,0.42746584922,0.1630751748389623
1,2,8,0.7750091469778251,0.11434137012556453,0.39130627114000016,0.17548793348561142
1,2,9,0.7495520065932445,0.11579280687273992,0.36609720934,0.16198450765161385
1,2,10,0.74510460272015,0.12309888895114421,0.38189917601000006,0.17492020097154706
1,3,2,0.7195832970693999,0.1338239242621364,0.6486587657,0.17977729412592733
1,3,3,0.7444315615766667,0.1084463576192398,0.61471408393,0.17243088717875923
1,3,4,0.758863557901,0.10997777270695519,0.5833737219,0.16281085093630004
1,3,5,0.7260236706733201,0.12496396224959802,0.5258461749,0.16322811033448753
1,3,6,0.7667910454351902,0.08506181758555866,0.5357416949,0.15980200240177936
1,3,7,0.7457178211164143,0.11892847032735973,0.5041998239000001,0.16440237716750591
1,3,8,0.7535666594196251,0.11364382403978286,0.5157255052299999,0.15385179491086393
1,3,9,0.7674165127526945,0.09476836464585303,0.46245783836,0.15179722952053357
1,3,10,0.75442424669408,0.11945312757526486,0.46079215705000004,0.1557384705571394
1,4,2,0.74471212476995,0.09640274717003557,0.6950823612000001,0.11635586853456344
1,4,3,0.7357373204619999,0.09382701230569918,0.6450383447,0.14223859232757366
1,4,4,0.7493913747707643,0.10196471579381604,0.6200194203000001,0.13510193273869864
1,4,5,0.7469756781720001,0.08377886166988728,0.5975039815000001,0.14075626799447372
1,4,6,0.7546786467883,0.09662891334978727,0.5855579452,0.1095249694702133
1,4,7,0.7480954942128715,0.09126615086271776,0.5812823909999999,0.1375666414341762
1,4,8,0.7524475999003413,0.09582514781144545,0.5557145673,0.13325267220024622
1,4,9,0.7562896010264234,0.10235706787742287,0.5270514672000001,0.13328954634636725
1,4,10,0.7637277016224199,0.08494254957670243,0.5335424972,0.11205168716581805
1,5,2,0.71910769951295,0.10981671010718434,0.6769009402,0.1327445632926799
1,5,3,0.7432450259389398,0.10023981791608176,0.6676236897000001,0.12330986718341831
1,5,4,0.745722166942185,0.09541678584994637,0.6649497142,0.12010427913460507
1,5,5,0.7346193271448601,0.09354812224023838,0.6344741150000001,0.12201301433140437
1,5,6,0.7623533771704836,0.09522598189681863,0.6176480538,0.12125421115284507
1,5,7,0.7344393784796286,0.08753337972369439,0.5906693736999999,0.11995287322008709
1,5,8,0.7448969504417873,0.09763990526410457,0.5923290363000001,0.13225758963217707
1,5,9,0.765355673631779,0.08968736124664059,0.5773819214,0.12618876529468995
1,5,10,0.7482065375539138,0.0993379285487256,0.5665845678,0.11500904423507423
1,6,2,0.7152407429855501,0.10749381919327557,0.6858609197,0.1159486543815842
1,6,3,0.7457034335349665,0.08737484073104099,0.6779077960000001,0.10707495395127963
1,6,4,0.7418463310747001,0.08789073578757885,0.6597813443,0.1269755513692016
1,6,5,0.7292357438349842,0.08775356010779604,0.6303126409,0.11226334225781492
1,6,6,0.742277214997105,0.0677085484176239,0.6277137843,0.10161080651835418
1,6,7,0.7516665423881426,0.0764042479594961,0.62692123,0.09086741773956056
1,6,8,0.7517473907224763,0.08399118355635009,0.6326641294,0.09499829266925489
1,6,9,0.7526365154020779,0.08204131525113599,0.6043637189,0.1003650202789637
1,6,10,0.744627021851256,0.0860660572821358,0.5899000286,0.09986946818780132
1,7,2,0.71074944048107,0.07650930287125385,0.6811721917999999,0.10449341536974317
1,7,3,0.7423398862738333,0.07326016437967117,0.6849177243,0.09102661843466107
1,7,4,0.7438892929860501,0.08629506813005804,0.6696803939,0.11286923892765441
1,7,5,0.7485756649791822,0.07132101149634579,0.6710123248,0.1024740795805774
1,7,6,0.7558013032584835,0.07163371250826772,0.6541369104,0.09641882784066809
1,7,7,0.744361717998601,0.08048810531295225,0.6546213466999998,0.09338974405007282
1,7,8,0.74527500706483,0.07825980206402078,0.6487750824999999,0.08966106636366179
1,7,9,0.7586887103992989,0.07964839719067114,0.6233734331,0.10153924953257551
1,7,10,0.7552715201104502,0.08130190738586549,0.6314784178999999,0.08698615248573159
1,8,2,0.729099281671,0.0874869041441784,0.6991517203000001,0.09633890984737024
1,8,3,0.7307780078899797,0.07851504497095406,0.6903940173,0.08445732511166865
1,8,4,0.7238244722099249,0.08423652056976869,0.6744489759000003,0.10622249891296912
1,8,5,0.747029179679022,0.08158185110769375,0.6736872789999999,0.09562313776070157
1,8,6,0.745092747655735,0.07836767139206835,0.6825798664999998,0.09151942055983696
1,8,7,0.7730726075781598,0.07353573823490889,0.6605927704,0.10328031360092216
1,8,8,0.7479112773578588,0.07834553564532067,0.6468363087,0.0855136455782411
1,8,9,0.7618123235858145,0.06632527276942177,0.6491292281,0.09492417815290959
1,8,10,0.7494131589206668,0.0725747710679218,0.6417503551999999,0.09223399744317397
1,9,2,0.7153591280018365,0.07072576337688904,0.6912746481,0.08314462665107067
1,9,3,0.7357381818866036,0.07259871387258864,0.6942557742000001,0.08928876070294207
1,9,4,0.7244333708972648,0.08146532847940939,0.6907056892000001,0.08407410933379716
1,9,5,0.7362557782532361,0.07121951753130543,0.6739104951,0.09333017337648272
1,9,6,0.7440586378324268,0.07172192619634364,0.6697106863000001,0.08673982176932221
1,9,7,0.7448843109780499,0.07163135100448859,0.6640079824,0.09552662077572066
1,9,8,0.7462004658398608,0.06707583828480643,0.6727121233000001,0.08597678414749381
1,9,9,0.7587538771203289,0.06774966268010153,0.6697639597,0.09087391569559301
1,9,10,0.747319308172522,0.06721911703210014,0.6595140107000002,0.07693049367897288
1,10,2,0.7226051695556476,0.06795429678025257,0.7020586567000001,0.07290542937888853
1,10,3,0.7271776354637167,0.06009895968688791,0.703156119,0.07744532178254704
1,10,4,0.7418694756666675,0.0645244771915873,0.6974186765,0.07485785806841158
1,10,5,0.757099261638207,0.058768942101220044,0.7095706511000001,0.07177605443704593
1,10,6,0.741261122728185,0.0703333873239256,0.700365546,0.07857289841499364
1,10,7,0.7436187907421615,0.06446538035171359,0.6777542695,0.08093813939994036
1,10,8,0.7548094373316462,0.06306979565044468,0.6782178799,0.07338434395792819
1,10,9,0.7444197496841447,0.06633187110770287,0.6693681641000001,0.0749133434548276
1,10,10,0.7570331163087833,0.06089472729638904,0.6792639213,0.07017114768718635
